Cerrina Monferrato comune,Cerrina Monferrato comune.1
,
Cerrina Monferrato – VedutaVeduta aerea di Cerrina Monferrato.,Cerrina Monferrato – VedutaVeduta aerea di Cerrina Monferrato.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Marco Cornaglia (lista civica) dal 3-10-2021
Territorio,Territorio
Coordinate,45°07′20″N 8°12′54″E
Altitudine,225 m s.l.m.
Superficie,"17,3 km²"
Abitanti,1 268[1] (30-11-2025)
Densità,"73,29 ab./km²"
Frazioni,"Montaldo, Rosingo, Montalero, Piancerreto, Valle"
Comuni confinanti,"Castelletto Merli, Gabiano, Mombello Monferrato, Odalengo Grande, Odalengo Piccolo, Villamiroglio"
Altre informazioni,Altre informazioni
Cod. postale,15020
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006059
Cod. catastale,C531
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 671 GG[3]"
Nome abitanti,Cerrinesi
Patrono,Santi Nazario e Celso
Giorno festivo,28 luglio
Cartografia,Cartografia
Cerrina Monferrato,Cerrina Monferrato
Cerrina Monferrato – MappaMappa del Comune di Cerrina all'interno della Provincia di Alessandria,Cerrina Monferrato – MappaMappa del Comune di Cerrina all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
