Cavatore comune,Cavatore comune.1
,
Cavatore – Veduta,Cavatore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Masoero Carlo Alberto (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°37′53″N 8°27′19″E
Altitudine,516 m s.l.m.
Superficie,"10,45 km²"
Abitanti,247[1] (30-11-2025)
Densità,"23,64 ab./km²"
Comuni confinanti,"Acqui Terme, Cartosio, Grognardo, Melazzo, Ponzone"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006055
Cod. catastale,C387
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 916 GG[3]"
Nome abitanti,cavatoresi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Cavatore,Cavatore
Cavatore – MappaMappa del comune di Cavatore all'interno della provincia di Alessandria,Cavatore – MappaMappa del comune di Cavatore all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
