Borgo San Martino comune,Borgo San Martino comune.1
,
Borgo San Martino – Veduta,Borgo San Martino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Fabio Zavattaro (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°05′33.32″N 8°31′25.43″E
Altitudine,107 m s.l.m.
Superficie,"9,72 km²"
Abitanti,1 328[1] (30-11-2025)
Densità,"136,63 ab./km²"
Comuni confinanti,"Casale Monferrato, Frassineto Po, Occimiano, Pomaro Monferrato, Ticineto"
Altre informazioni,Altre informazioni
Cod. postale,15032
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006020
Cod. catastale,B037
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 807 GG[3]"
Nome abitanti,borghigiani
Patrono,san Quirico e santa Giulitta
Giorno festivo,15 luglio
Cartografia,Cartografia
Borgo San Martino,Borgo San Martino
Borgo San Martino – MappaPosizione del comune nella provincia di Alessandria,Borgo San Martino – MappaPosizione del comune nella provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
