Pietra Marazzi comune,Pietra Marazzi comune.1
,
Pietra Marazzi – VedutaPiazza Umberto I,Pietra Marazzi – VedutaPiazza Umberto I
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Claudio Aiachino (lista civica Realizzare Insieme) dal 20-9-2020
Territorio,Territorio
Coordinate,44°56′37″N 8°40′11″E
Altitudine,95 m s.l.m.
Superficie,8 km²
Abitanti,849[1] (30-11-2025)
Densità,"106,13 ab./km²"
Frazioni,Pavone
Comuni confinanti,"Alessandria, Montecastello, Pecetto di Valenza"
Altre informazioni,Altre informazioni
Cod. postale,15040
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006129
Cod. catastale,G619
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 559 GG[3]"
Nome abitanti,pietramarazzesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Pietra Marazzi,Pietra Marazzi
Pietra Marazzi – MappaMappa del comune di Pietra Marazzi all'interno della provincia di Alessandria,Pietra Marazzi – MappaMappa del comune di Pietra Marazzi all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
