Viguzzolo comune,Viguzzolo comune.1
,
Viguzzolo – VedutaPiazza Libertà,Viguzzolo – VedutaPiazza Libertà
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Giuseppe Chiesa (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°54′19″N 8°55′25″E
Altitudine,128 m s.l.m.
Superficie,"18,31 km²"
Abitanti,3 103[1] (30-11-2025)
Densità,"169,47 ab./km²"
Comuni confinanti,"Berzano di Tortona, Casalnoceto, Castellar Guidobono, Pontecurone, Sarezzano, Tortona, Volpeglino"
Altre informazioni,Altre informazioni
Cod. postale,15058
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006181
Cod. catastale,L904
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 522 GG[3]"
Nome abitanti,viguzzolesi (Bisgulè)
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Viguzzolo,Viguzzolo
Viguzzolo – MappaMappa del Comune di Viguzzolo all'interno della Provincia di Alessandria,Viguzzolo – MappaMappa del Comune di Viguzzolo all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
