Mongiardino Ligure comune,Mongiardino Ligure comune.1
,
Mongiardino Ligure – VedutaLa chiesa di San Ruffino di Cerendero,Mongiardino Ligure – VedutaLa chiesa di San Ruffino di Cerendero
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Alessia Morando (lista civica Uniti per cambiare) dal 13-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°38′24″N 9°03′42″E
Altitudine,600 m s.l.m.
Superficie,"29,03 km²"
Abitanti,146[1] (30-11-2025)
Densità,"5,03 ab./km²"
Frazioni,"Borneto, Camere Nuove, Canarie, Casa di Ragione, Casalbusone, Castellaro, Cavanna, Cerendero, Correio, Fubbiano, Ghiare, Gordena, Gorreto, Lago Cerreto, Lago Patrono (sede comunale), Maggiolo, Mandirola, Montemanno, Mulino Cascè, Peio, Piansuolo, Prato, Rovello Inferiore, Rovello Superiore, Salata Mongiardino, Vergagni"
Comuni confinanti,"Cabella Ligure, Carrega Ligure, Isola del Cantone (GE), Roccaforte Ligure, Rocchetta Ligure, Vobbia (GE)"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006100
Cod. catastale,F365
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 986 GG[3]"
Nome abitanti,mongiardinesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Mongiardino Ligure,Mongiardino Ligure
Mongiardino Ligure – MappaMappa del Comune di Mongiardino Ligure all'interno della Provincia di Alessandria,Mongiardino Ligure – MappaMappa del Comune di Mongiardino Ligure all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
