Casale Monferrato comune,Casale Monferrato comune.1
,
Casale Monferrato – VedutaVeduta di via Lanza,Casale Monferrato – VedutaVeduta di via Lanza
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Emanuele Capra (FdI) dal 9-6-2024
Territorio,Territorio
Coordinate,45°08′03″N 8°27′30″E
Altitudine,116 m s.l.m.
Superficie,"86,21 km²"
Abitanti,32 447[1] (30-11-2025)
Densità,"376,37 ab./km²"
Frazioni,"Casale Popolo, Roncaglia, San Germano, Santa Maria del Tempio, Terranova Monferrato, Vialarda, Vedi elenco"
Comuni confinanti,"Balzola, Borgo San Martino, Camagna Monferrato, Candia Lomellina (PV), Coniolo, Conzano, Frassineto Po, Morano sul Po, Motta de' Conti (VC), Occimiano, Ozzano Monferrato, Pontestura, Rosignano Monferrato, San Giorgio Monferrato, Terruggia, Villanova Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15033
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006039
Cod. catastale,B885
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 815 GG[3]"
Nome abitanti,casalesi o casalaschi
Patrono,sant'Evasio
Giorno festivo,12 novembre
Cartografia,Cartografia
Casale Monferrato,Casale Monferrato
Casale Monferrato – MappaPosizione del comune di Casale Monferrato all'interno della provincia di Alessandria,Casale Monferrato – MappaPosizione del comune di Casale Monferrato all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
