Berzano di Tortona comune,Berzano di Tortona comune.1
,
Berzano di Tortona – Veduta,Berzano di Tortona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Enrica Pavione (lista civica Grappolo d'uva e spighe di grano) dal 9-6-2024
Territorio,Territorio
Coordinate,44°52′42″N 8°57′09″E
Altitudine,270 m s.l.m.
Superficie,"2,89 km²"
Abitanti,163[1] (30-11-2025)
Densità,"56,4 ab./km²"
Frazioni,"Cappellette, Chiesa, Inselmina, Magostino, Valbona"
Comuni confinanti,"Monleale, Sarezzano, Viguzzolo, Volpeglino"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006016
Cod. catastale,A813
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 709 GG[3]"
Nome abitanti,berzanesi
Patrono,santa Teresa
Giorno festivo,15 ottobre
Cartografia,Cartografia
Berzano di Tortona,Berzano di Tortona
Berzano di Tortona – MappaPosizione del comune nella provincia di Alessandria,Berzano di Tortona – MappaPosizione del comune nella provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
