Roccaforte Ligure comune,Roccaforte Ligure comune.1
,
Roccaforte Ligure – Veduta,Roccaforte Ligure – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Ilaria Tinello (lista civica Roccaforte domani) dal 27-5-2019 (2º mandato dal 9-6-24)
Territorio,Territorio
Coordinate,44°40′42″N 9°01′47″E
Altitudine,704 m s.l.m.
Superficie,"20,59 km²"
Abitanti,114[1] (30-11-2025)
Densità,"5,54 ab./km²"
Frazioni,"Avi, Barca, Borassi, Camere Vecchie, Campo dei Re, Chiappella, Chiesa di Rocca, Corti, Ricò, Riva, San Martino, Villa"
Comuni confinanti,"Borghetto di Borbera, Cantalupo Ligure, Grondona, Isola del Cantone (GE), Mongiardino Ligure, Rocchetta Ligure"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006146
Cod. catastale,H406
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 073 GG[3]"
Nome abitanti,roccafortini
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Roccaforte Ligure,Roccaforte Ligure
Roccaforte Ligure – MappaMappa del comune di Roccaforte Ligure all'interno della provincia di Alessandria,Roccaforte Ligure – MappaMappa del comune di Roccaforte Ligure all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
