Odalengo Grande comune,Odalengo Grande comune.1
,
Odalengo Grande – VedutaTorre San Quilico,Odalengo Grande – VedutaTorre San Quilico
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Fabio Olivero (lista civica) dal 16-5-2011 (3º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°06′36″N 8°10′05″E
Altitudine,381 m s.l.m.
Superficie,"15,43 km²"
Abitanti,398[1] (30-11-2025)
Densità,"25,79 ab./km²"
Frazioni,"Sant'Antonio, Cicengo, Vallestura, Pozzo, Torre San Quilico, Frostolo, Casaleggio"
Comuni confinanti,"Cerrina Monferrato, Murisengo Monferrato, Odalengo Piccolo, Robella (AT), Verrua Savoia (TO), Villadeati, Villamiroglio"
Altre informazioni,Altre informazioni
Cod. postale,15020
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006116
Cod. catastale,F997
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 802 GG[3]"
Nome abitanti,odalenghesi
Patrono,san Quirico
Giorno festivo,15 luglio
Cartografia,Cartografia
Odalengo Grande,Odalengo Grande
Odalengo Grande – MappaMappa del Comune di Odalengo Grande all'interno della Provincia di Alessandria,Odalengo Grande – MappaMappa del Comune di Odalengo Grande all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
