San Salvatore Monferrato comune,San Salvatore Monferrato comune.1
,
San Salvatore Monferrato – VedutaVeduta di San Salvatore e della torre dei Paleologi,San Salvatore Monferrato – VedutaVeduta di San Salvatore e della torre dei Paleologi
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Corrado Tagliabue (lista civica) dal 3-10-2021
Territorio,Territorio
Coordinate,44°59′42″N 8°34′01″E
Altitudine,205 m s.l.m.
Superficie,"31,69 km²"
Abitanti,4 055[1] (30-11-2025)
Densità,"127,96 ab./km²"
Frazioni,"Fosseto, Frescondino, Piazzolo, Salcido, Valdolenga, Valparolo"
Comuni confinanti,"Alessandria, Castelletto Monferrato, Lu e Cuccaro Monferrato, Mirabello Monferrato, Quargnento, Valenza"
Altre informazioni,Altre informazioni
Cod. postale,15046
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006154
Cod. catastale,I144
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 651 GG[3]"
Nome abitanti,sansalvatoresi
Patrono,San Ciriaco e la Pentecoste
Giorno festivo,martedi di pentecoste
Cartografia,Cartografia
San Salvatore Monferrato,San Salvatore Monferrato
San Salvatore Monferrato – MappaMappa del comune di San Salvatore Monferrato all'interno della provincia di Alessandria,San Salvatore Monferrato – MappaMappa del comune di San Salvatore Monferrato all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
