Carrega Ligure comune,Carrega Ligure comune.1
,
Carrega Ligure – VedutaPanorama,Carrega Ligure – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Luca Silvestri (lista civica Tradizione e futuro in Cariega) dal 20-9-2020
Territorio,Territorio
Coordinate,44°37′15″N 9°10′33″E
Altitudine,958 m s.l.m.
Superficie,"55,26 km²"
Abitanti,74[1] (30-11-2025)
Densità,"1,34 ab./km²"
Frazioni,"Agneto, Berga, Boglianca, Campassi, Ca' dei Campassi, Capanne di Carrega, Cartasegna, Casone, Chiapparo, Connio, Croso, Daglio, Ferrazza, Fontanachiusa, Magioncalda, Reneuzzi, San Clemente, Vegni"
Comuni confinanti,"Cabella Ligure, Fascia (GE), Gorreto (GE), Mongiardino Ligure, Ottone (PC), Propata (GE), Valbrevenna (GE), Vobbia (GE)"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006034
Cod. catastale,B836
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 287 GG[3]"
Nome abitanti,carreghini
Patrono,san Giuliano
Giorno festivo,9 gennaio
Cartografia,Cartografia
Carrega Ligure,Carrega Ligure
Carrega Ligure – MappaMappa del Comune di Carrega Ligure all'interno della Provincia di Alessandria,Carrega Ligure – MappaMappa del Comune di Carrega Ligure all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
