Gavi comune,Gavi comune.1
,
Gavi – VedutaGavi vista dal forte,Gavi – VedutaGavi vista dal forte
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Carlo Massa (lista civica SìAmoGavi) dal 22-9-2020
Territorio,Territorio
Coordinate,44°41′19″N 8°48′37″E
Altitudine,233 m s.l.m.
Superficie,"45,04 km²"
Abitanti,4 352[1] (30-11-2025)
Densità,"96,63 ab./km²"
Frazioni,"Alice, Monterotondo, Pratolungo, Rovereto"
Comuni confinanti,"Arquata Scrivia, Bosio, Carrosio, Francavilla Bisio, Novi Ligure, Parodi Ligure, San Cristoforo, Serravalle Scrivia, Tassarolo, Voltaggio"
Altre informazioni,Altre informazioni
Cod. postale,15066
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006081
Cod. catastale,D944
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 678 GG[3]"
Nome abitanti,gaviesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Gavi,Gavi
Gavi – MappaMappa del comune di Gavi all'interno della provincia di Alessandria,Gavi – MappaMappa del comune di Gavi all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
