Bosco Marengo comune,Bosco Marengo comune.1
,
Bosco Marengo – VedutaLa parrocchiale dei Santi Pietro e Pantaleone e il monumento bronzeo a papa Pio V,Bosco Marengo – VedutaLa parrocchiale dei Santi Pietro e Pantaleone e il monumento bronzeo a papa Pio V
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Maria Erminia Zotta (lista civica Rilanciamo Bosco) dal 9-6-2024
Territorio,Territorio
Coordinate,44°49′35″N 8°40′42″E
Altitudine,121 m s.l.m.
Superficie,"44,53 km²"
Abitanti,2 143[1] (30-11-2025)
Densità,"48,12 ab./km²"
Frazioni,"Levata, Pollastra, Quattro Cascine"
Comuni confinanti,"Alessandria, Basaluzzo, Casal Cermelli, Fresonara, Frugarolo, Novi Ligure, Pozzolo Formigaro, Predosa, Tortona"
Altre informazioni,Altre informazioni
Cod. postale,15062
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006021
Cod. catastale,B071
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 617 GG[3]"
Nome abitanti,boschesi
Patrono,san Pio V
Giorno festivo,5 maggio
Cartografia,Cartografia
Bosco Marengo,Bosco Marengo
Bosco Marengo – MappaPosizione del comune nella provincia di Alessandria,Bosco Marengo – MappaPosizione del comune nella provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
