Cereseto comune,Cereseto comune.1
,
Cereseto – VedutaPanorama da Treville,Cereseto – VedutaPanorama da Treville
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Enzo Lavagno (lista civica: lavagno sindaco) dal 26-5-2024 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°05′12.66″N 8°19′05.41″E
Altitudine,280 m s.l.m.
Superficie,"10,44 km²"
Abitanti,358[1] (30-11-2025)
Densità,"34,29 ab./km²"
Comuni confinanti,"Moncalvo (AT), Ottiglio, Ozzano Monferrato, Pontestura, Ponzano Monferrato, Sala Monferrato, Serralunga di Crea, Treville"
Altre informazioni,Altre informazioni
Cod. postale,15020
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006057
Cod. catastale,C503
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 717 GG[3]"
Nome abitanti,ceresetesi
Giorno festivo,16 agosto
Cartografia,Cartografia
Cereseto,Cereseto
Cereseto – MappaMappa del Comune di Cereseto all'interno della Provincia di Alessandria,Cereseto – MappaMappa del Comune di Cereseto all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
