Arquata Scrivia comune,Arquata Scrivia comune.1
,
Arquata Scrivia – Veduta,Arquata Scrivia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Alberto Basso (lista civica Viviamo Arquata) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°41′33″N 8°52′54″E
Altitudine,248 m s.l.m.
Superficie,"29,24 km²"
Abitanti,6 331[1] (30-11-2025)
Densità,"216,52 ab./km²"
Frazioni,"Rigoroso, Varinella, Vocemola, Sottovalle. Località: Campora, Moriassi, Pessino, Traveghero, Val d'Arquata[2]"
Comuni confinanti,"Carrosio, Gavi, Grondona, Isola del Cantone (GE), Serravalle Scrivia, Vignole Borbera, Voltaggio"
Altre informazioni,Altre informazioni
Cod. postale,15061
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006009
Cod. catastale,A436
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 664 GG[4]"
Nome abitanti,arquatesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Arquata Scrivia,Arquata Scrivia
Arquata Scrivia – MappaMappa del comune di Arquata Scrivia all'interno della provincia di Alessandria,Arquata Scrivia – MappaMappa del comune di Arquata Scrivia all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
