Cabella Ligure comune,Cabella Ligure comune.1
,
Cabella Ligure – VedutaVeduta,Cabella Ligure – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Roberta Daglio (lista civica Bene in comune) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°40′29″N 9°05′48″E
Altitudine,474 m s.l.m.
Superficie,"46,63 km²"
Abitanti,437[1] (30-11-2025)
Densità,"9,37 ab./km²"
Frazioni,"Capanne di Cosola, Casella, Centrassi, Cornareto, Cosola, Cremonte, Dova Inferiore, Dovanelli, Dova Superiore, Guazzolo, La Colonia, Malga di Costa Rivazza, Piancereto, Pobbio Inferiore, Pobbio Superiore, Piuzzo, Rosano, Selvagnassi, Serasso, Teo"
Comuni confinanti,"Albera Ligure, Carrega Ligure, Fabbrica Curone, Mongiardino Ligure, Ottone (PC), Rocchetta Ligure, Zerba (PC)"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006025
Cod. catastale,B311
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 911 GG[3]"
Nome abitanti,cabellotti
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Cabella Ligure,Cabella Ligure
Cabella Ligure – MappaLocalizzazione del comune di Cabella Ligure all'interno della Provincia di Alessandria,Cabella Ligure – MappaLocalizzazione del comune di Cabella Ligure all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
