Paderna comune,Paderna comune.1
Paderna – VedutaPanorama,Paderna – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Filippo Cordani (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°49′17″N 8°53′32″E
Altitudine,300 m s.l.m.
Superficie,"4,42 km²"
Abitanti,210[1] (30-11-2025)
Densità,"47,51 ab./km²"
Comuni confinanti,"Carezzano, Costa Vescovato, Spineto Scrivia, Carbonara Scrivia, Villaromagnano, Tortona"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006124
Cod. catastale,G215
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 734 GG[3]"
Nome abitanti,padernesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Paderna,Paderna
Paderna – MappaMappa del Comune di Paderna all'interno della Provincia di Alessandria,Paderna – MappaMappa del Comune di Paderna all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
