Frassinello Monferrato comune,Frassinello Monferrato comune.1
,
Frassinello Monferrato – VedutaPanorama,Frassinello Monferrato – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Federico Andreone (lista civica) dal 20-9-2020
Data di istituzione,08/10/2020
Territorio,Territorio
Coordinate,45°01′58″N 8°23′19″E
Altitudine,261 m s.l.m.
Superficie,"8,43 km²"
Abitanti,451[1] (30-11-2025)
Densità,"53,5 ab./km²"
Comuni confinanti,"Camagna Monferrato, Cella Monte, Olivola, Ottiglio, Rosignano Monferrato, Vignale Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15035
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006072
Cod. catastale,D777
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,frassinellesi
Patrono,santo Spiridione di Trimitonte
Giorno festivo,4 maggio
Cartografia,Cartografia
Frassinello Monferrato,Frassinello Monferrato
Frassinello Monferrato – MappaMappa del Comune di Frassinello Monferrato all'interno della Provincia di Alessandria,Frassinello Monferrato – MappaMappa del Comune di Frassinello Monferrato all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
