Montacuto comune,Montacuto comune.1
,
Montacuto – Veduta,Montacuto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Piero Frascaroli Calvino (lista civica Stretta di mano) dal 20-9-2020
Territorio,Territorio
Coordinate,44°45′59.22″N 9°06′17.86″E
Altitudine,525 m s.l.m.
Superficie,"23,75 km²"
Abitanti,226[1] (30-11-2025)
Densità,"9,52 ab./km²"
Frazioni,"Benegassi, Costa dei Ferrai, Ca’ Sarto, Giara, Giarolo, Gregassi, Magroforte Inferiore, Poggio, Poldini, Restegassi, Roverassa, Serbaro, Solarolo"
Comuni confinanti,"Albera Ligure, Cantalupo Ligure, Dernice, Fabbrica Curone, Gremiasco, San Sebastiano Curone"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006102
Cod. catastale,F387
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 923 GG[3]"
Nome abitanti,monteacutesi
Patrono,san Fermo
Giorno festivo,9 agosto
Cartografia,Cartografia
Montacuto,Montacuto
Montacuto – MappaMappa del Comune di Montacuto all'interno della Provincia di Alessandria,Montacuto – MappaMappa del Comune di Montacuto all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
