Castelletto d'Erro comune,Castelletto d'Erro comune.1
,
Castelletto d'Erro – Veduta,Castelletto d'Erro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Anselmo Carlo Levo (lista civica Insieme per Castelletto d'Erro) dal 21-9-2020
Territorio,Territorio
Coordinate,44°37′38″N 8°23′41″E
Altitudine,544 m s.l.m.
Superficie,"4,66 km²"
Abitanti,115[1] (30-11-2025)
Densità,"24,68 ab./km²"
Comuni confinanti,"Bistagno, Cartosio, Melazzo, Montechiaro d'Acqui, Ponti"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006048
Cod. catastale,C156
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 939 GG[3]"
Nome abitanti,castellettesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Castelletto d'Erro,Castelletto d'Erro
Castelletto d'Erro – MappaMappa del comune di Castelletto d'Erro all'interno della provincia di Alessandria,Castelletto d'Erro – MappaMappa del comune di Castelletto d'Erro all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
