Cerreto Grue comune,Cerreto Grue comune.1
,
Cerreto Grue – Veduta,Cerreto Grue – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Piero Giuseppe Bonadeo (lista civica: Cerreto per il futuro) dal 26-5-2024 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°50′37″N 8°55′53″E
Altitudine,251 m s.l.m.
Superficie,"4,75 km²"
Abitanti,293[1] (30-11-2025)
Densità,"61,68 ab./km²"
Frazioni,"Arpicella, Battignana, Cabanotto, Valeria"
Comuni confinanti,"Costa Vescovato, Montegioco, Sarezzano, Villaromagnano"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006058
Cod. catastale,C507
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 693 GG[3]"
Nome abitanti,cerretesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Cerreto Grue,Cerreto Grue
Cerreto Grue – MappaMappa del Comune di Cerreto Grue all'interno della Provincia di Alessandria,Cerreto Grue – MappaMappa del Comune di Cerreto Grue all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
