Novi Ligure comune,Novi Ligure comune.1
,
Novi Ligure – Veduta,Novi Ligure – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Rocchino Muliere (PD) dal 29-5-2023
Territorio,Territorio
Coordinate,44°45′33″N 8°47′08″E
Altitudine,197 m s.l.m.
Superficie,"55,2 km²"
Abitanti,27 430[1] (30-11-2025)
Densità,"496,92 ab./km²"
Frazioni,"Barbellotta, Merella"
Comuni confinanti,"Basaluzzo, Bosco Marengo, Cassano Spinola, Gavi, Pasturana, Pozzolo Formigaro, Serravalle Scrivia, Tassarolo"
Altre informazioni,Altre informazioni
Cod. postale,15067
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006114
Cod. catastale,F965
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 717 GG[3]"
Nome abitanti,novesi
Patrono,Madonna della neve
Giorno festivo,5 agosto
Soprannome,"La città dei campionissimi, la città del cioccolato"
Motto,In Novitate Vivam
Cartografia,Cartografia
Novi Ligure,Novi Ligure
Novi Ligure – MappaMappa del comune di Novi Ligure all'interno della provincia di Alessandria,Novi Ligure – MappaMappa del comune di Novi Ligure all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
