Montaldo Bormida comune,Montaldo Bormida comune.1
,
Montaldo Bormida – Veduta,Montaldo Bormida – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,"Emiliano Marengo (lista civica ""Rinnovare Montaldo"") dal 14-5-2023"
Territorio,Territorio
Coordinate,44°41′01″N 8°35′20″E
Altitudine,334 m s.l.m.
Superficie,"5,72 km²"
Abitanti,577[1] (30-11-2025)
Densità,"100,87 ab./km²"
Frazioni,"Gaggina, Selvaggia-Baretta"
Comuni confinanti,"Carpeneto, Orsara Bormida, Rivalta Bormida, Sezzadio, Trisobbio"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006104
Cod. catastale,F404
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 666 GG[3]"
Nome abitanti,montaldesi
Patrono,san Michele Arcangelo
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Montaldo Bormida,Montaldo Bormida
Montaldo Bormida – MappaMappa del Comune di Montalto Bormida all'interno della Provincia di Alessandria,Montaldo Bormida – MappaMappa del Comune di Montalto Bormida all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
