Castelletto Merli comune,Castelletto Merli comune.1
,
Castelletto Merli – VedutaChiesa di Sant'Antonio nella frazione Godio,Castelletto Merli – VedutaChiesa di Sant'Antonio nella frazione Godio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Ivan Cassone (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°04′30″N 8°14′28″E
Altitudine,268 m s.l.m.
Superficie,"11,59 km²"
Abitanti,446[1] (30-11-2025)
Densità,"38,48 ab./km²"
Frazioni,"Borgo San Giuseppe, Case Bertana, Cosso, Costamezzana, Godio, Guazzolo, Perno Inferiore, Perno Superiore, Sogliano, Terfengato, Terfengo, Valle"
Comuni confinanti,"Alfiano Natta, Cerrina Monferrato, Mombello Monferrato, Moncalvo (AT), Odalengo Piccolo, Ponzano Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15020
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,006050
Cod. catastale,C160
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 707 GG[3]"
Nome abitanti,castellettesi
Patrono,sant'Eusebio di Vercelli
Giorno festivo,1º agosto
Cartografia,Cartografia
Castelletto Merli,Castelletto Merli
Castelletto Merli – MappaMappa del comune di Castelletto Merli all'interno della provincia di Alessandria,Castelletto Merli – MappaMappa del comune di Castelletto Merli all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
