Camagna Monferrato comune,Camagna Monferrato comune.1
,
Camagna Monferrato – VedutaPanorama di Camagna Monferrato,Camagna Monferrato – VedutaPanorama di Camagna Monferrato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Claudio Scagliotti (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°01′07″N 8°25′51″E
Altitudine,261 m s.l.m.
Superficie,"9,25 km²"
Abitanti,463[1] (30-11-2025)
Densità,"50,05 ab./km²"
Frazioni,"Regione Bonina, Stramba"
Comuni confinanti,"Casale Monferrato, Conzano, Frassinello Monferrato, Lu e Cuccaro Monferrato, Rosignano Monferrato, Vignale Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15030
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006026
Cod. catastale,B453
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,camagnesi
Patrono,sant'Eusebio di Vercelli
Giorno festivo,1º agosto
Cartografia,Cartografia
Camagna Monferrato,Camagna Monferrato
Camagna Monferrato – MappaMappa del comune di Camagna Monferrato all'interno della provincia di Alessandria,Camagna Monferrato – MappaMappa del comune di Camagna Monferrato all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
