Sala Monferrato comune,Sala Monferrato comune.1
,
Sala Monferrato – VedutaPanorama del paese,Sala Monferrato – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Mario Melotti (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°04′34″N 8°21′35″E
Altitudine,264 m s.l.m.
Superficie,"7,58 km²"
Abitanti,327[1] (30-11-2025)
Densità,"43,14 ab./km²"
Comuni confinanti,"Cella Monte, Cereseto, Ottiglio, Ozzano Monferrato, Treville"
Altre informazioni,Altre informazioni
Cod. postale,15030
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006150
Cod. catastale,H677
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 704 GG[3]"
Nome abitanti,salesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Sala Monferrato,Sala Monferrato
Sala Monferrato – MappaMappa del Comune di Sala Monferrato all'interno della Provincia di Alessandria,Sala Monferrato – MappaMappa del Comune di Sala Monferrato all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
