Basaluzzo comune,Basaluzzo comune.1
,
Basaluzzo – VedutaIl castello di Basaluzzo,Basaluzzo – VedutaIl castello di Basaluzzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Gianfranco Ludovici (lista civica Insieme per Basaluzzo) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°46′11″N 8°42′21″E
Altitudine,149 m s.l.m.
Superficie,"15,05 km²"
Abitanti,2 010[1] (30-11-2025)
Densità,"133,55 ab./km²"
Frazioni,Sant'Antonio
Comuni confinanti,"Bosco Marengo, Capriata d'Orba, Francavilla Bisio, Fresonara, Novi Ligure, Pasturana, Predosa"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006012
Cod. catastale,A689
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 676 GG[3]"
Nome abitanti,basaluzzesi
Patrono,san Gioacchino
Giorno festivo,26 luglio
Cartografia,Cartografia
Basaluzzo,Basaluzzo
Basaluzzo – MappaPosizione del comune nella provincia di Alessandria,Basaluzzo – MappaPosizione del comune nella provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
