Ponti comune,Ponti comune.1
,
Ponti – Veduta,Ponti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Antonella Giuseppina Poggio (lista civica) dal 3-10-2021
Territorio,Territorio
Coordinate,44°37′44″N 8°21′59″E
Altitudine,186 m s.l.m.
Superficie,"11,97 km²"
Abitanti,491[1] (30-11-2025)
Densità,"41,02 ab./km²"
Comuni confinanti,"Bistagno, Castelletto d'Erro, Denice, Monastero Bormida (AT), Montechiaro d'Acqui, Sessame (AT)"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006134
Cod. catastale,G861
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 467 GG[3]"
Nome abitanti,pontesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Ponti,Ponti
Ponti – MappaMappa del Comune di Ponti all'interno della Provincia di Alessandria,Ponti – MappaMappa del Comune di Ponti all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
