Provincia di Grosseto provincia,Provincia di Grosseto provincia.1
,
"Provincia di Grosseto – VedutaPalazzo Aldobrandeschi, sede della Provincia.","Provincia di Grosseto – VedutaPalazzo Aldobrandeschi, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Amministrazione,Amministrazione
Capoluogo,Grosseto
Presidente,Francesco Limatola (centro-sinistra) dal 18-12-2021
Territorio,Territorio
Coordinate del capoluogo,42°46′20″N 11°06′32″E
Superficie,"4 503,12 km²"
Abitanti,214 966[1] (31-10-2025)
Densità,"47,74 ab./km²"
Comuni,28 comuni
Province confinanti,"Livorno, Pisa, Siena, Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,"58100, 58010-58055"
Prefisso,"0564, 0566"
Fuso orario,UTC+1
ISO 3166-2,IT-GR
Codice ISTAT,053
Targa,GR
Cartografia,Cartografia
Provincia di Grosseto – Localizzazione,Provincia di Grosseto – Localizzazione
Provincia di Grosseto – MappaPosizione della provincia di Grosseto all'interno della Toscana.,Provincia di Grosseto – MappaPosizione della provincia di Grosseto all'interno della Toscana.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
