Follonica comune,Follonica comune.1
,
Follonica – Veduta,Follonica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Matteo Buoncristiani (FdI) dal 10-6-2024
Data di istituzione,14 giugno 1923
Territorio,Territorio
Coordinate,42°55′08″N 10°45′41″E
Altitudine,4 m s.l.m.
Superficie,"56,02 km²"
Abitanti,20 023[1] (30-11-2025)
Densità,"357,43 ab./km²"
Comuni confinanti,"Massa Marittima, Piombino (LI), Scarlino, Suvereto (LI)"
Altre informazioni,Altre informazioni
Cod. postale,58022
Prefisso,0566
Fuso orario,UTC+1
Codice ISTAT,053009
Cod. catastale,D656
Targa,GR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 527 GG[3]"
Nome abitanti,follonichesi[4]
Patrono,san Leopoldo
Giorno festivo,15 novembre
Cartografia,Cartografia
Follonica,Follonica
Follonica – MappaPosizione del comune di Follonica all'interno della provincia di Grosseto,Follonica – MappaPosizione del comune di Follonica all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
