Pitigliano comune,Pitigliano comune.1
,
Pitigliano – Veduta,Pitigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Giovanni Gentili (lista civica Pitigliano in vita) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°38′04″N 11°40′06″E
Altitudine,313 m s.l.m.
Superficie,"101,97 km²"
Abitanti,3 513[1] (30-11-2025)
Densità,"34,45 ab./km²"
Frazioni,Casone[2]
Comuni confinanti,"Farnese (VT), Ischia di Castro (VT), Latera (VT), Manciano, Sorano, Valentano (VT)"
Altre informazioni,Altre informazioni
Cod. postale,58017
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053019
Cod. catastale,G716
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 195 GG[4]"
Nome abitanti,pitiglianesi[5]
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Pitigliano,Pitigliano
Pitigliano – MappaPosizione del comune di Pitigliano all'interno della provincia di Grosseto,Pitigliano – MappaPosizione del comune di Pitigliano all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
