Semproniano comune,Semproniano comune.1
,
Semproniano – VedutaVeduta di Semproniano,Semproniano – VedutaVeduta di Semproniano
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,"Luciano Petrucci (FdI, eletto con lista civica Semproniano bene comune) dal 10-6-2018 (2° mandato dal 29-5-2023)"
Territorio,Territorio
Coordinate,42°43′48″N 11°32′28″E
Altitudine,601 m s.l.m.
Superficie,"81,65 km²"
Abitanti,1 014[1] (30-11-2025)
Densità,"12,42 ab./km²"
Frazioni,"Catabbio, Cellena, Petricci, Rocchette di Fazio[2]"
Comuni confinanti,"Castell'Azzara, Manciano, Roccalbegna, Santa Fiora, Sorano"
Altre informazioni,Altre informazioni
Cod. postale,58055
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053028
Cod. catastale,I601
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 357 GG[4]"
Nome abitanti,sempronianesi[5]
Patrono,santi Vincenzo e Anastasio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Semproniano,Semproniano
Semproniano – MappaPosizione del comune di Semproniano all'interno della provincia di Grosseto,Semproniano – MappaPosizione del comune di Semproniano all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
