Castel del Piano comune,Castel del Piano comune.1
,
Castel del Piano – VedutaVeduta di Castel del Piano,Castel del Piano – VedutaVeduta di Castel del Piano
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Cinzia Pieraccini (lista civica di centro-sinistra) dal 18-6-2024
Territorio,Territorio
Coordinate,42°53′27″N 11°32′22″E
Altitudine,637 m s.l.m.
Superficie,"67,77 km²"
Abitanti,4 805[1] (30-11-2025)
Densità,"70,9 ab./km²"
Frazioni,"Montegiovi, Montenero d'Orcia[2]"
Comuni confinanti,"Abbadia San Salvatore (SI), Arcidosso, Castiglione d'Orcia (SI), Cinigiano, Montalcino (SI), Santa Fiora, Seggiano"
Altre informazioni,Altre informazioni
Cod. postale,58033
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053004
Cod. catastale,C085
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 199 GG[4]"
Nome abitanti,"casteldelpianese, casteldelpianesi[5]; castelpianese, castelpianesi[5]; o cioli"
Patrono,Maria santissima delle Grazie
Giorno festivo,8 settembre
Cartografia,Cartografia
Castel del Piano,Castel del Piano
Castel del Piano – MappaPosizione del comune di Castel del Piano all'interno della provincia di Grosseto,Castel del Piano – MappaPosizione del comune di Castel del Piano all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
