Montieri comune,Montieri comune.1
,
Montieri – Veduta,Montieri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Nicola Verruzzi (lista civica di centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°07′52″N 11°01′00″E
Altitudine,750 m s.l.m.
Superficie,"108,21 km²"
Abitanti,1 194[1] (30-11-2025)
Densità,"11,03 ab./km²"
Frazioni,"Boccheggiano, Gerfalco, Travale"
Comuni confinanti,"Castelnuovo di Val di Cecina (PI), Chiusdino (SI), Massa Marittima, Monterotondo Marittimo, Radicondoli (SI), Roccastrada"
Altre informazioni,Altre informazioni
Cod. postale,58026
Prefisso,0566
Fuso orario,UTC+1
Codice ISTAT,053017
Cod. catastale,F677
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 500 GG[3]"
Nome abitanti,"montierini, montieresi[4]"
Patrono,beato Giacomo da Montieri
Giorno festivo,28 dicembre
Cartografia,Cartografia
Montieri,Montieri
Montieri – MappaPosizione del comune di Montieri all'interno della provincia di Grosseto,Montieri – MappaPosizione del comune di Montieri all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
