Roccastrada comune,Roccastrada comune.1
,
Roccastrada – Veduta,Roccastrada – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Francesco Limatola (centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°00′35″N 11°10′06″E
Altitudine,475 m s.l.m.
Superficie,"284,47 km²"
Abitanti,8 776[1] (30-11-2025)
Densità,"30,85 ab./km²"
Frazioni,"Montemassi, Piloni, Ribolla, Roccatederighi, Sassofortino, Sticciano, Torniella"
Comuni confinanti,"Campagnatico, Chiusdino (SI), Civitella Paganico, Gavorrano, Grosseto, Massa Marittima, Monticiano (SI), Montieri"
Altre informazioni,Altre informazioni
Cod. postale,"58036; 58027 (Montemassi, Ribolla)"
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053021
Cod. catastale,H449
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 181 GG[3]"
Nome abitanti,roccastradini[4]
Patrono,san Niccolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Roccastrada,Roccastrada
Roccastrada – MappaPosizione del comune di Roccastrada all'interno della provincia di Grosseto,Roccastrada – MappaPosizione del comune di Roccastrada all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
