Santa Fiora comune,Santa Fiora comune.1
,
Santa Fiora – Veduta,Santa Fiora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Federico Balocchi (Progetto Santa Fiora) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°49′55″N 11°35′07″E
Altitudine,687 m s.l.m.
Superficie,"63,45 km²"
Abitanti,2 512[1] (30-11-2025)
Densità,"39,59 ab./km²"
Frazioni,"Bagnolo, Bagnore, Marroneto, Selva[2]"
Comuni confinanti,"Abbadia San Salvatore (SI), Arcidosso, Castel del Piano, Castell'Azzara, Piancastagnaio (SI), Roccalbegna, Semproniano"
Altre informazioni,Altre informazioni
Cod. postale,58037
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053022
Cod. catastale,I187
Targa,GR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 269 GG[4]"
Nome abitanti,"santafiorese, santafioresi[5]; o ciacciai[6]"
Patrono,santa Flora e santa Lucilla
Giorno festivo,29 luglio
Cartografia,Cartografia
Santa Fiora,Santa Fiora
Santa Fiora – MappaPosizione del comune di Santa Fiora all'interno della provincia di Grosseto,Santa Fiora – MappaPosizione del comune di Santa Fiora all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
