Orbetello comune,Orbetello comune.1
,
Orbetello – VedutaPanorama di Orbetello,Orbetello – VedutaPanorama di Orbetello
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Andrea Casamenti (lista civica di centro-destra Patto per il futuro) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°26′22″N 11°12′45″E
Altitudine,3 m s.l.m.
Superficie,"226,8 km²"
Abitanti,13 913[1] (30-11-2025)
Densità,"61,34 ab./km²"
Frazioni,"Albinia, Ansedonia, Fonteblanda, Giannella, Quattro Strade, San Donato, Talamone"
Comuni confinanti,"Capalbio, Magliano in Toscana, Manciano, Monte Argentario"
Altre informazioni,Altre informazioni
Cod. postale,58010 58015
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053018
Cod. catastale,G088
Targa,GR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 260 GG[3]"
Nome abitanti,orbetellani[4]
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Orbetello,Orbetello
Orbetello – MappaPosizione del comune di Orbetello all'interno della provincia di Grosseto,Orbetello – MappaPosizione del comune di Orbetello all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
