Cinigiano comune,Cinigiano comune.1
,
Cinigiano – VedutaVeduta di Cinigiano,Cinigiano – VedutaVeduta di Cinigiano
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Luciano Monaci (lista civica di centro-sinistra Abitare Insieme) dal 9-6-2024
Territorio,Territorio
Coordinate,42°53′26″N 11°23′33″E
Altitudine,324 m s.l.m.
Superficie,"161,55 km²"
Abitanti,2 470[1] (30-11-2025)
Densità,"15,29 ab./km²"
Frazioni,"Borgo Santa Rita, Castiglioncello Bandini, Monticello Amiata, Poggi del Sasso, Porrona, Sasso d'Ombrone"
Comuni confinanti,"Arcidosso, Campagnatico, Castel del Piano, Civitella Paganico, Montalcino (SI)"
Altre informazioni,Altre informazioni
Cod. postale,58044
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053007
Cod. catastale,C705
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 972 GG[3]"
Nome abitanti,cinigianesi[4] o lupai
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Cinigiano,Cinigiano
Cinigiano – MappaPosizione del comune di Cinigiano all'interno della provincia di Grosseto,Cinigiano – MappaPosizione del comune di Cinigiano all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
