Castiglione della Pescaia comune,Castiglione della Pescaia comune.1
,
Castiglione della Pescaia – VedutaVeduta del centro storico,Castiglione della Pescaia – VedutaVeduta del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Elena Nappi (lista civica di centro-sinistra Castiglione futura) dal 4-10-2021
Territorio,Territorio
Coordinate,42°45′56″N 10°52′51″E
Altitudine,4 m s.l.m.
Superficie,"209,28 km²"
Abitanti,7 075[1] (30-11-2025)
Densità,"33,81 ab./km²"
Frazioni,"Buriano, Punta Ala, Tirli, Vetulonia[2]"
Comuni confinanti,"Gavorrano, Grosseto, Scarlino"
Altre informazioni,Altre informazioni
Cod. postale,58043
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053006
Cod. catastale,C310
Targa,GR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona D, 1 527 GG[4]"
Nome abitanti,castiglionesi[5]
Patrono,san Guglielmo di Malavalle
Giorno festivo,Lunedì dopo la seconda domenica di maggio
Cartografia,Cartografia
Castiglione della Pescaia,Castiglione della Pescaia
Castiglione della Pescaia – MappaPosizione del comune di Castiglione della Pescaia all'interno della provincia di Grosseto,Castiglione della Pescaia – MappaPosizione del comune di Castiglione della Pescaia all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
