Campagnatico comune,Campagnatico comune.1
,
Campagnatico – VedutaVeduta di Campagnatico,Campagnatico – VedutaVeduta di Campagnatico
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Elismo Pesucci (centro-destra) dal 13-6-2022
Territorio,Territorio
Coordinate,42°53′04″N 11°16′17″E
Altitudine,275 m s.l.m.
Superficie,"162,25 km²"
Abitanti,2 345[1] (30-11-2025)
Densità,"14,45 ab./km²"
Frazioni,"Arcille, Marrucheti, Montorsaio[2]"
Comuni confinanti,"Arcidosso, Cinigiano, Civitella Paganico, Grosseto, Roccalbegna, Roccastrada, Scansano"
Altre informazioni,Altre informazioni
Cod. postale,58042
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053002
Cod. catastale,B497
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 903 GG[4]"
Nome abitanti,"campagnatichese, campagnatichesi[5]"
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Campagnatico,Campagnatico
Campagnatico – MappaPosizione del comune di Campagnatico all'interno della provincia di Grosseto,Campagnatico – MappaPosizione del comune di Campagnatico all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
