Civitella Paganico comune,Civitella Paganico comune.1
,
"Civitella Paganico – VedutaVeduta di Civitella Marittima, sede municipale","Civitella Paganico – VedutaVeduta di Civitella Marittima, sede municipale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Alessandra Biondi (lista civica Progetto comune) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°59′42″N 11°16′54″E
Altitudine,329 m s.l.m.
Superficie,"192,9 km²"
Abitanti,2 955[1] (30-11-2025)
Densità,"15,32 ab./km²"
Frazioni,"Casale di Pari, Casenovole, Civitella Marittima (sede comunale), Dogana, Monte Antico, Paganico, Pari, Petriolo"
Comuni confinanti,"Campagnatico, Cinigiano, Montalcino (SI), Monticiano (SI), Murlo (SI), Roccastrada"
Altre informazioni,Altre informazioni
Cod. postale,58045
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053008
Cod. catastale,C782
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 979 GG[3]"
Nome abitanti,"civitellino, civitellini[4]"
Patrono,san Fabiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Civitella Paganico,Civitella Paganico
Civitella Paganico – MappaPosizione del comune di Civitella Paganico all'interno della provincia di Grosseto,Civitella Paganico – MappaPosizione del comune di Civitella Paganico all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
