Massa Marittima comune,Massa Marittima comune.1
,
Massa Marittima – Veduta,Massa Marittima – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Irene Marconi (PD) dal 9-6-2024
Territorio,Territorio
Coordinate,43°03′00″N 10°53′37″E
Altitudine,380 m s.l.m.
Superficie,"283,45 km²"
Abitanti,8 197[1] (30-11-2025)
Densità,"28,92 ab./km²"
Frazioni,"Ghirlanda, Niccioleta, Prata, Tatti, Valpiana"
Comuni confinanti,"Follonica, Gavorrano, Monterotondo Marittimo, Montieri, Roccastrada, Scarlino, Suvereto (LI)"
Altre informazioni,Altre informazioni
Cod. postale,58024
Prefisso,0566
Fuso orario,UTC+1
Codice ISTAT,053015
Cod. catastale,F032
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 129 GG[3]"
Nome abitanti,massetani[4]; massani (antico)[4]
Patrono,san Cerbone
Giorno festivo,10 ottobre
Cartografia,Cartografia
Massa Marittima,Massa Marittima
Massa Marittima – MappaPosizione del comune di Massa Marittima all'interno della provincia di Grosseto,Massa Marittima – MappaPosizione del comune di Massa Marittima all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
