Roccalbegna comune,Roccalbegna comune.1
,
Roccalbegna – VedutaVeduta di Roccalbegna,Roccalbegna – VedutaVeduta di Roccalbegna
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Massimo Galli (lista civica Lista comune progetto innovazione) dal 16-5-2011 (3° mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°47′13″N 11°30′36″E
Altitudine,522 m s.l.m.
Superficie,"124,86 km²"
Abitanti,911[1] (30-11-2025)
Densità,"7,3 ab./km²"
Frazioni,"Cana, Santa Caterina, Triana, Vallerona"
Comuni confinanti,"Arcidosso, Campagnatico, Manciano, Santa Fiora, Scansano, Semproniano"
Altre informazioni,Altre informazioni
Cod. postale,58053
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053020
Cod. catastale,H417
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 247 GG[3]"
Nome abitanti,roccalbegnini[4]; rocchigiani[4]
Patrono,san Cristoforo
Giorno festivo,25 luglio
Cartografia,Cartografia
Roccalbegna,Roccalbegna
Roccalbegna – MappaPosizione del comune di Roccalbegna all'interno della provincia di Grosseto,Roccalbegna – MappaPosizione del comune di Roccalbegna all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
