Monterotondo Marittimo comune,Monterotondo Marittimo comune.1
,
Monterotondo Marittimo – Veduta,Monterotondo Marittimo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Giacomo Termine (PD) dal 26-5-2014 (3° mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°08′46″N 10°51′20″E
Altitudine,539 m s.l.m.
Superficie,"102,59 km²"
Abitanti,1 272[1] (30-11-2025)
Densità,"12,4 ab./km²"
Frazioni,"Frassine, Lago Boracifero"
Comuni confinanti,"Castelnuovo di Val di Cecina (PI), Massa Marittima, Monteverdi Marittimo (PI), Montieri, Pomarance (PI), Suvereto (LI)"
Altre informazioni,Altre informazioni
Cod. postale,58025
Prefisso,0566
Fuso orario,UTC+1
Codice ISTAT,053027
Cod. catastale,F612
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 270 GG[3]"
Nome abitanti,monterotondini[4]
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Monterotondo Marittimo,Monterotondo Marittimo
Monterotondo Marittimo – MappaPosizione del comune di Monterotondo Marittimo all'interno della provincia di Grosseto,Monterotondo Marittimo – MappaPosizione del comune di Monterotondo Marittimo all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
