Isola del Giglio comune,Isola del Giglio comune.1
,
Isola del Giglio – Veduta,Isola del Giglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Capoluogo,Giglio Castello
Sindaco,Armando Schiaffino (lista civica di centro-sinistra Progetto Giglio Contro l'Abbandono) dal 9-6-2024
Territorio,Territorio
Coordinate del capoluogo,42°21′18″N 10°54′18″E
Altitudine,496 m s.l.m.
Superficie,"24,01 km²"
Abitanti,1 279[1] (30-11-2025)
Densità,"53,27 ab./km²"
Frazioni,"Giglio Campese, Giglio Castello, Giglio Porto, Isola di Giannutri"
Comuni confinanti,nessuno
Altre informazioni,Altre informazioni
Cod. postale,58012
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053012
Cod. catastale,E348
Targa,GR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 2 084 GG[3]"
Nome abitanti,"gigliesi, gigliesini[4]"
Patrono,san Mamiliano
Giorno festivo,15 settembre
Cartografia,Cartografia
Giglio Castello,Giglio Castello
Isola del Giglio – MappaPosizione del comune di Isola del Giglio all'interno della provincia di Grosseto,Isola del Giglio – MappaPosizione del comune di Isola del Giglio all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
