Sorano comune,Sorano comune.1
,
Sorano – Veduta,Sorano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Maria Paola Corritore (Commissario prefettizio) dal 30-12-2025
Territorio,Territorio
Coordinate,42°40′55″N 11°42′51″E
Altitudine,379 m s.l.m.
Superficie,"174,56 km²"
Abitanti,2 992[1] (30-11-2025)
Densità,"17,14 ab./km²"
Frazioni,"Castell'Ottieri, Cerreto, Elmo, Montebuono, Montevitozzo, Montorio, San Giovanni delle Contee, San Quirico, San Valentino, Sovana[2]"
Comuni confinanti,"Acquapendente (VT), Castell'Azzara, Latera (VT), Manciano, Onano (VT), Pitigliano, Proceno (VT), Semproniano"
Altre informazioni,Altre informazioni
Cod. postale,58010
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053026
Cod. catastale,I841
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 204 GG[4]"
Nome abitanti,soranesi[5]
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Sorano,Sorano
Sorano – MappaPosizione del comune di Sorano all'interno della provincia di Grosseto,Sorano – MappaPosizione del comune di Sorano all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
