Scarlino comune,Scarlino comune.1
,
Scarlino – VedutaVeduta di Scarlino,Scarlino – VedutaVeduta di Scarlino
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Francesca Travison (centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°54′29″N 10°51′03″E
Altitudine,229 m s.l.m.
Superficie,"88,29 km²"
Abitanti,3 680[1] (30-11-2025)
Densità,"41,68 ab./km²"
Frazioni,"Puntone di Scarlino, Scarlino Scalo"
Comuni confinanti,"Castiglione della Pescaia, Follonica, Gavorrano, Massa Marittima"
Altre informazioni,Altre informazioni
Cod. postale,58020
Prefisso,0566
Fuso orario,UTC+1
Codice ISTAT,053024
Cod. catastale,I510
Targa,GR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 840 GG[3]"
Nome abitanti,scarlinesi[4]; scarlinati[4]
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Scarlino,Scarlino
Scarlino – MappaPosizione del comune di Scarlino all'interno della provincia di Grosseto,Scarlino – MappaPosizione del comune di Scarlino all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
