Provincia di Prato provincia,Provincia di Prato provincia.1
,
"Provincia di Prato – VedutaPalazzo Banci Buonamici, sede della Provincia, 2011","Provincia di Prato – VedutaPalazzo Banci Buonamici, sede della Provincia, 2011"
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Amministrazione,Amministrazione
Capoluogo,Prato
Presidente,Simone Calamai (PD) dal 26-11-2022
Data di istituzione,16 aprile 1992[1]
Territorio,Territorio
Coordinate del capoluogo,43°52′50.93″N 11°05′47.62″E
Superficie,"365,72 km²"
Abitanti,260 880[2] (31-10-2025)
Densità,"713,33 ab./km²"
Comuni,7 comuni
Province confinanti,"Bologna, Firenze, Pistoia"
Altre informazioni,Altre informazioni
Cod. postale,59100 (Prato) 59011 - 59026 (altri comuni)
Prefisso,"0574, 055"
Fuso orario,UTC+1
ISO 3166-2,IT-PO
Codice ISTAT,100
Targa,PO
Cartografia,Cartografia
Provincia di Prato – Localizzazione,Provincia di Prato – Localizzazione
Provincia di Prato – MappaPosizione della provincia di Prato all'interno della Toscana,Provincia di Prato – MappaPosizione della provincia di Prato all'interno della Toscana
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
