Cantagallo comune,Cantagallo comune.1
,
Cantagallo – Vedutala frazione di Fossato,Cantagallo – Vedutala frazione di Fossato
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Prato
Amministrazione,Amministrazione
Sindaco,Guglielmo Bongiorno (PD) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°01′N 11°05′E
Altitudine,423 m s.l.m.
Superficie,"95,67 km²"
Abitanti,3 086[1] (30-11-2025)
Densità,"32,26 ab./km²"
Frazioni,"Campagnana, Carmignanello, Castello, Cerbaia, Chiusoli, Dagnana, Fornace, Fossato, Gavigno, Gricigliana, Il Fabbro, L'Acqua, La Dogana, La Villa, Luicciana (capoluogo), Luogomano, Migliana, Peraldaccio, Piazza (abbandonata), S. Stefano, Sezzana, Usella."
Comuni confinanti,"Barberino di Mugello (FI), Camugnano (BO), Montale (PT), Montemurlo, Pistoia (PT), Sambuca Pistoiese (PT), Vaiano, Vernio"
Altre informazioni,Altre informazioni
Cod. postale,59025
Prefisso,0574
Fuso orario,UTC+1
Codice ISTAT,100001
Cod. catastale,B626
Targa,PO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 960 GG[3]"
Nome abitanti,cantagallesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Cantagallo,Cantagallo
Cantagallo – MappaPosizione del comune di Cantagallo all'interno della provincia di Prato,Cantagallo – MappaPosizione del comune di Cantagallo all'interno della provincia di Prato
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
