Montemurlo comune,Montemurlo comune.1
,
Montemurlo – VedutaLa Rocca di Montemurlo,Montemurlo – VedutaLa Rocca di Montemurlo
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Prato
Amministrazione,Amministrazione
Sindaco,Simone Calamai (PD) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°55′40″N 11°02′24″E
Altitudine,73 m s.l.m.
Superficie,"30,77 km²"
Abitanti,19 162[1] (30-11-2025)
Densità,"622,75 ab./km²"
Frazioni,"Albiano, Bagnolo, Bagnolo di Sopra, Barzano, Borgo Pieratti, Fornacelle, Guzzano, Mulino, Oste, Palarciano, Popolesco, Querce, Reticaia, Santorezzo"
Comuni confinanti,"Agliana (PT), Cantagallo, Montale (PT), Prato, Vaiano"
Altre informazioni,Altre informazioni
Cod. postale,59013
Prefisso,0574
Fuso orario,UTC+1
Codice ISTAT,100003
Cod. catastale,F572
Targa,PO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 792 GG[3]"
Nome abitanti,montemurlesi
Patrono,Esaltazione della Croce
Giorno festivo,3 maggio
Cartografia,Cartografia
Montemurlo,Montemurlo
Montemurlo – MappaPosizione del comune di Montemurlo all'interno della provincia di Prato,Montemurlo – MappaPosizione del comune di Montemurlo all'interno della provincia di Prato
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
