Prato comune,Prato comune.1
,
Prato – VedutaPanorama di Prato dalla terrazza del Palazzo Pretorio,Prato – VedutaPanorama di Prato dalla terrazza del Palazzo Pretorio
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Prato
Amministrazione,Amministrazione
Sindaco,Claudio Sammartino (Commissario prefettizio) dall'11-7-2025
Territorio,Territorio
Coordinate,43°52′50.93″N 11°05′47.62″E
Altitudine,61 m s.l.m.
Superficie,"97,35 km²"
Abitanti,198 950[1] (30-7-2025)
Densità,"2 043,66 ab./km²"
Frazioni,(vedi sezione)
Comuni confinanti,"Agliana (PT), Calenzano (FI), Campi Bisenzio (FI), Carmignano, Montemurlo, Poggio a Caiano, Quarrata (PT), Vaiano"
Altre informazioni,Altre informazioni
Cod. postale,59100
Prefisso,0574
Fuso orario,UTC+1
Codice ISTAT,100005
Cod. catastale,G999
Targa,PO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 668 GG[3]"
Nome abitanti,pratesi[4]
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Prato,Prato
Prato – MappaPosizione del comune di Prato all'interno dell'omonima provincia,Prato – MappaPosizione del comune di Prato all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
