Carmignano comune,Carmignano comune.1
,
Carmignano – Veduta,Carmignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Prato
Amministrazione,Amministrazione
Sindaco,Edoardo Prestanti (lista civica Idee per Carmignano) dal 6-5-2016 (2° mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,43°48′36.97″N 11°00′53.78″E
Altitudine,189 m s.l.m.
Superficie,"38,43 km²"
Abitanti,14 493[1] (30-11-2025)
Densità,"377,13 ab./km²"
Frazioni,"Artimino, Bacchereto, Camaioni, Colle, Comeana, Santa Cristina a Mezzana, La Serra, Poggio alla Malva, Seano, Spazzavento, Verghereto[2]"
Comuni confinanti,"Capraia e Limite (FI), Lastra a Signa (FI), Montelupo Fiorentino (FI), Poggio a Caiano, Prato, Quarrata (PT), Signa (FI), Vinci (FI)"
Altre informazioni,Altre informazioni
Cod. postale,"59015 (Colle); 59011 (Bacchereto, Seano)"
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,100002
Cod. catastale,B794
Targa,PO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 2 053 GG[4]"
Nome abitanti,carmignanesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Carmignano,Carmignano
Carmignano – MappaPosizione del comune di Carmignano all'interno della provincia di Prato,Carmignano – MappaPosizione del comune di Carmignano all'interno della provincia di Prato
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
