Vernio comune,Vernio comune.1
,
Vernio – VedutaVeduta,Vernio – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Prato
Amministrazione,Amministrazione
Sindaco,Maria Lucarini (PD) dal 10-6-2024
Territorio,Territorio
Coordinate,44°03′N 11°09′E
Altitudine,257 m s.l.m.
Superficie,"63,38 km²"
Abitanti,6 198[1] (30-11-2025)
Densità,"97,79 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Barberino di Mugello (FI), Camugnano (BO), Cantagallo (PO), Castiglione dei Pepoli (BO)"
Altre informazioni,Altre informazioni
Cod. postale,59024; 59026 (Montepiano)
Prefisso,0574
Fuso orario,UTC+1
Codice ISTAT,100007
Cod. catastale,L775
Targa,PO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 190 GG[3]"
Nome abitanti,verniatti
Patrono,san Leonardo di Noblac
Giorno festivo,6 novembre
Cartografia,Cartografia
Vernio,Vernio
Vernio – MappaPosizione del comune di Vernio all'interno della provincia di Prato,Vernio – MappaPosizione del comune di Vernio all'interno della provincia di Prato
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
