Vaiano comune,Vaiano comune.1
,
Vaiano – Veduta,Vaiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Prato
Amministrazione,Amministrazione
Sindaco,Francesca Vivarelli (Indipendente di sinistra) dal 10-06-2024
Territorio,Territorio
Coordinate,43°58′N 11°07′E
Altitudine,150 m s.l.m.
Superficie,"34,11 km²"
Abitanti,9 955[1] (30-11-2025)
Densità,"291,85 ab./km²"
Frazioni,"Fabio, Faltugnano, Gamberame, La Briglia, La Cartaia, La Foresta, La Tignamica, Parmigno, Popigliano, San Leonardo in Collina, Savignano, Schignano, Sofignano[2]"
Comuni confinanti,"Barberino di Mugello (FI), Calenzano (FI), Cantagallo, Montemurlo, Prato"
Altre informazioni,Altre informazioni
Cod. postale,59021
Prefisso,0574
Fuso orario,UTC+1
Codice ISTAT,100006
Cod. catastale,L537
Targa,PO
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 993 GG[4]"
Nome abitanti,vaianesi
Patrono,San Salvatore
Cartografia,Cartografia
Vaiano,Vaiano
Vaiano – MappaPosizione del comune di Vaiano nella provincia di Prato,Vaiano – MappaPosizione del comune di Vaiano nella provincia di Prato
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
