Capodrise comune,Capodrise comune.1
,
Capodrise – VedutaFoto della chiesa di Sant'Andrea apostolo,Capodrise – VedutaFoto della chiesa di Sant'Andrea apostolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Florinda Bevilacqua (commissario prefettizio) dal 19-5-2025
Territorio,Territorio
Coordinate,41°02′40.38″N 14°18′08.36″E
Altitudine,34 m s.l.m.
Superficie,"3,46 km²"
Abitanti,9 994[1] (30-11-2025)
Densità,"2 888,44 ab./km²"
Comuni confinanti,"Marcianise, Portico di Caserta, Recale, San Marco Evangelista, San Nicola la Strada"
Altre informazioni,Altre informazioni
Cod. postale,81020
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061013
Cod. catastale,B667
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 109 GG[3]"
Nome abitanti,Capodrisani
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Capodrise,Capodrise
Capodrise – MappaPosizione del comune di Capodrise nella provincia di Caserta,Capodrise – MappaPosizione del comune di Capodrise nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
