Roccamonfina comune,Roccamonfina comune.1
,
Roccamonfina – VedutaPiazza Nicola Amore,Roccamonfina – VedutaPiazza Nicola Amore
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Carlo Montefusco (lista civica La primavera roccana) dal 1-6-2015
Territorio,Territorio
Coordinate,41°18′N 13°59′E
Altitudine,612 m s.l.m.
Superficie,"31,04 km²"
Abitanti,3 091[1] (30-11-2025)
Densità,"99,58 ab./km²"
Frazioni,"Ausoni, Cari, Cembali, Cese, Cicioni, Filorsi, Fontanafredda, Gallo, Garofali, Giglioli, San Domenico, Tavola, Torano, Tuorisichi, Tuoro di Tavola"
Comuni confinanti,"Caianello, Conca della Campania, Galluccio, Marzano Appio, Sessa Aurunca, Teano"
Altre informazioni,Altre informazioni
Cod. postale,81035
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061070
Cod. catastale,H423
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 255 GG[3]"
Nome abitanti,roccani
Patrono,sant'Antonio di Padova
Giorno festivo,ultimo martedì di maggio e ultima domenica di agosto
Cartografia,Cartografia
Roccamonfina,Roccamonfina
Roccamonfina – MappaPosizione del comune di Roccamonfina all'interno della provincia di Caserta,Roccamonfina – MappaPosizione del comune di Roccamonfina all'interno della provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
