Camigliano comune,Camigliano comune.1
,
Camigliano – Veduta,Camigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Antonio Veltre (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°11′N 14°13′E
Altitudine,80 m s.l.m.
Superficie,"6,02 km²"
Abitanti,1 972[1] (30-11-2025)
Densità,"327,57 ab./km²"
Frazioni,"Leporano, Falchi"
Comuni confinanti,"Bellona, Formicola, Giano Vetusto, Pastorano, Pontelatone, Vitulazio"
Altre informazioni,Altre informazioni
Cod. postale,81050
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061011
Cod. catastale,B477
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 204 GG[3]"
Nome abitanti,camiglianesi
Patrono,san Simeone Profeta
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Camigliano,Camigliano
Camigliano – MappaPosizione del comune di Camigliano nella provincia di Caserta,Camigliano – MappaPosizione del comune di Camigliano nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
