Ruviano comune,Ruviano comune.1
,
Ruviano – Veduta,Ruviano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Angelo Coppola (Sviluppo e coerenza insieme) dal 4-10-2021
Territorio,Territorio
Coordinate,41°13′N 14°25′E
Altitudine,80 m s.l.m.
Superficie,"24,15 km²"
Abitanti,1 634[1] (30-11-2025)
Densità,"67,66 ab./km²"
Frazioni,Alvignanello
Comuni confinanti,"Alvignano, Amorosi (BN), Caiazzo, Castel Campagnano, Faicchio (BN), Gioia Sannitica, Puglianello (BN)"
Altre informazioni,Altre informazioni
Cod. postale,81010
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061073
Cod. catastale,H165
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 202 GG[3]"
Nome abitanti,ruvianesi
Patrono,san Leone
Giorno festivo,10 novembre - prima domenica di maggio
Cartografia,Cartografia
Ruviano,Ruviano
Ruviano – MappaPosizione del comune di Ruviano nella provincia di Caserta,Ruviano – MappaPosizione del comune di Ruviano nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
