Castello del Matese comune,Castello del Matese comune.1
,
Castello del Matese – Veduta,Castello del Matese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Salvatore Montone (lista civica) dal 30-3-2010
Territorio,Territorio
Coordinate,41°23′37.73″N 14°25′22.65″E
Altitudine,476 m s.l.m.
Superficie,"21,77 km²"
Abitanti,1 329[1] (30-11-2025)
Densità,"61,05 ab./km²"
Comuni confinanti,"Campochiaro (CB), Piedimonte Matese, San Gregorio Matese, San Potito Sannitico"
Altre informazioni,Altre informazioni
Cod. postale,81016
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061025
Cod. catastale,C178
Targa,CE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 006 GG[3]"
Nome abitanti,castellani
Patrono,sant'Antonio di Padova
Cartografia,Cartografia
Castello del Matese,Castello del Matese
Castello del Matese – MappaPosizione del comune di Castello del Matese nella provincia di Caserta,Castello del Matese – MappaPosizione del comune di Castello del Matese nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
