Baia e Latina comune,Baia e Latina comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Giuseppe Di Cerbo (lista civica Baia e Latina rinasce) dal 5-6-2016
Territorio,Territorio
Coordinate,41°18′N 14°15′E
Altitudine,123 m s.l.m.
Superficie,"24,43 km²"
Abitanti,1 979[1] (30-11-2025)
Densità,"81,01 ab./km²"
Comuni confinanti,"Alife, Dragoni, Pietravairano, Roccaromana, Sant'Angelo d'Alife"
Altre informazioni,Altre informazioni
Cod. postale,81010
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061006
Cod. catastale,A579
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 289 GG[3]"
Nome abitanti,"Baiardi (per i residenti a Baia) e Latinesi (Tinaruoli nel dialetto locale, per i residenti a Latina)"
Patrono,san Vito e san Lorenzo
Cartografia,Cartografia
Baia e Latina,Baia e Latina
Baia e Latina – MappaPosizione del comune di Baia e Latina nella provincia di Caserta,Baia e Latina – MappaPosizione del comune di Baia e Latina nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
