Falciano del Massico comune,Falciano del Massico comune.1
,
Falciano del Massico – Veduta,Falciano del Massico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Erasmo Fava (lista civica Falciano bene comune) dal 12-6-2017
Territorio,Territorio
Coordinate,41°10′N 13°57′E
Altitudine,70 m s.l.m.
Superficie,"46,72 km²"
Abitanti,3 428[1] (30-11-2025)
Densità,"73,37 ab./km²"
Comuni confinanti,"Cancello ed Arnone, Carinola, Mondragone, Sessa Aurunca"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061101
Cod. catastale,D471
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 182 GG[3]"
Nome abitanti,falcianesi (seuciaiuoli e capaiuoli)
Patrono,san Rocco
Giorno festivo,"16 agosto, 11 novembre e 29 luglio"
Cartografia,Cartografia
Falciano del Massico,Falciano del Massico
Falciano del Massico – MappaPosizione del comune di Falciano del Massico nella provincia di Caserta,Falciano del Massico – MappaPosizione del comune di Falciano del Massico nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
