Grazzanise comune,Grazzanise comune.1
,
Grazzanise – VedutaPiazzetta Montevergine,Grazzanise – VedutaPiazzetta Montevergine
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Enrico Petrella (lista civica Cento passi) dal 22-9-2020[1]
Data di istituzione,1806[2]
Territorio,Territorio
Coordinate,41°05′N 14°06′E
Altitudine,12 m s.l.m.
Superficie,"47,05 km²"
Abitanti,6 801[3] (30-11-2025)
Densità,"144,55 ab./km²"
Frazioni,"Brezza, Borgo Rurale Appio"
Comuni confinanti,"Cancello ed Arnone, Capua, Casal di Principe, Falciano del Massico, Francolise, Pignataro Maggiore, Santa Maria la Fossa, Vitulazio"
Altre informazioni,Altre informazioni
Cod. postale,81046
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061042
Cod. catastale,E158
Targa,CE
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona C, 1 086 GG[5]"
Nome abitanti,grazzanisani
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Grazzanise,Grazzanise
Grazzanise – MappaPosizione del comune di Grazzanise nella provincia di Caserta,Grazzanise – MappaPosizione del comune di Grazzanise nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
