Bellona comune,Bellona comune.1
,
Bellona – VedutaVeduta aerea,Bellona – VedutaVeduta aerea
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Giovanni Sarcinella (Progetto Bellona) dal 13-6-2022
Territorio,Territorio
Coordinate,41°10′N 14°14′E
Altitudine,103 m s.l.m.
Superficie,"11,78 km²"
Abitanti,6 046[1] (30-11-2025)
Densità,"513,24 ab./km²"
Frazioni,Triflisco
Comuni confinanti,"Camigliano, Capua, Pontelatone, Vitulazio"
Altre informazioni,Altre informazioni
Cod. postale,81041
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061007
Cod. catastale,A755
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 190 GG[3]"
Nome abitanti,bellonesi
Patrono,"san Secondino Vescovo e Confessore, Maria Santissima di Gerusalemme"
Giorno festivo,"Martedì in Albis, ricorrenza di Maria Santissima di Gerusalemme"
Cartografia,Cartografia
Bellona,Bellona
Bellona – MappaPosizione del comune di Bellona nella provincia di Caserta,Bellona – MappaPosizione del comune di Bellona nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
